instant,dteday,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,season
1,01-01-2011,0,1,0,False,6,1,0.24,0.0,0.2879,0.81,0.0,3,13,16,
2,01-01-2011,0,1,1,False,6,1,0.22,1.0,0.2727,0.8,0.0,8,32,40,
3,01-01-2011,0,1,2,False,6,1,0.22,2.0,0.2727,0.8,0.0,5,27,32,
4,01-01-2011,0,1,3,False,6,1,0.24,3.0,0.2879,0.75,0.0,3,10,13,
5,01-01-2011,0,1,4,False,6,1,0.24,4.0,0.2879,0.75,0.0,0,1,1,
6,01-01-2011,0,1,5,False,6,2,0.24,5.0,0.2576,0.75,0.0896,0,1,1,
7,01-01-2011,0,1,6,False,6,1,0.22,6.0,0.2727,0.8,0.0,2,0,2,
8,01-01-2011,0,1,7,False,6,1,0.2,7.0,0.2576,0.86,0.0,1,2,3,
9,01-01-2011,0,1,8,False,6,1,0.24,8.0,,0.75,0.0,1,7,8,
10,01-01-2011,0,1,9,False,6,1,0.32,9.0,0.3485,0.76,0.0,8,6,14,
11,01-01-2011,0,1,10,False,6,1,0.38,10.0,0.3939,0.76,0.2537,12,24,36,
12,01-01-2011,0,1,11,False,6,1,0.36,11.0,0.3333,0.81,0.2836,26,30,56,
13,01-01-2011,0,1,12,False,6,1,0.42,12.0,0.4242,0.77,0.2836,29,55,84,
14,01-01-2011,0,1,13,False,6,2,0.46,13.0,0.4545,0.72,0.2985,47,47,94,
15,01-01-2011,0,1,14,False,6,2,0.46,14.0,0.4545,0.72,0.2836,35,71,106,
16,01-01-2011,0,1,15,False,6,2,0.44,15.0,0.4394,0.77,0.2985,40,70,110,
17,01-01-2011,0,1,16,False,6,2,0.42,16.0,0.4242,0.82,0.2985,41,52,93,
18,01-01-2011,0,1,17,False,6,2,0.44,17.0,,0.82,0.2836,15,52,67,
19,01-01-2011,0,1,18,False,6,3,0.42,18.0,0.4242,0.88,0.2537,9,26,35,
20,01-01-2011,0,1,19,False,6,3,0.42,19.0,0.4242,0.88,0.2537,6,31,37,
21,01-01-2011,0,1,20,False,6,2,0.4,20.0,0.4091,0.87,0.2537,11,25,36,
22,01-01-2011,0,1,21,False,6,2,0.4,21.0,0.4091,0.87,0.194,3,31,34,
23,01-01-2011,0,1,22,False,6,2,0.4,22.0,0.4091,0.94,0.2239,11,17,28,
24,01-01-2011,0,1,23,False,6,2,0.46,23.0,,0.88,0.2985,15,24,39,
25,02-01-2011,0,1,0,False,0,2,0.46,24.0,0.4545,0.88,0.2985,4,13,17,
26,02-01-2011,0,1,1,False,0,2,0.44,25.0,0.4394,0.94,0.2537,1,16,17,
27,02-01-2011,0,1,2,False,0,2,0.42,26.0,0.4242,1.0,0.2836,1,8,9,
28,02-01-2011,0,1,3,False,0,2,0.46,27.0,0.4545,0.94,0.194,2,4,6,
29,02-01-2011,0,1,4,False,0,2,0.46,28.0,,0.94,0.194,2,1,3,
30,02-01-2011,0,1,6,False,0,3,0.42,29.0,0.4242,0.77,0.2985,0,2,2,
31,02-01-2011,0,1,7,False,0,2,0.4,30.0,0.4091,0.76,0.194,0,1,1,
32,02-01-2011,0,1,8,False,0,3,0.4,31.0,0.4091,0.71,0.2239,0,8,8,
33,02-01-2011,0,1,9,False,0,2,0.38,32.0,,0.76,0.2239,1,19,20,
34,02-01-2011,0,1,10,False,0,2,0.36,33.0,0.3485,0.81,0.2239,7,46,53,
35,02-01-2011,0,1,11,False,0,2,0.36,34.0,0.3333,0.71,0.2537,16,54,70,
36,02-01-2011,0,1,12,False,0,2,0.36,35.0,0.3333,0.66,0.2985,20,73,93,
37,02-01-2011,0,1,13,False,0,2,0.36,36.0,0.3485,0.66,0.1343,11,64,75,
38,02-01-2011,0,1,14,False,0,3,0.36,37.0,,0.76,0.194,4,55,59,
39,02-01-2011,0,1,15,False,0,3,0.34,38.0,0.3333,0.81,0.1642,19,55,74,
40,02-01-2011,0,1,16,False,0,3,0.34,39.0,0.3333,0.71,0.1642,9,67,76,
41,02-01-2011,0,1,17,False,0,1,0.34,40.0,0.3333,0.57,0.194,7,58,65,
42,02-01-2011,0,1,18,False,0,2,0.36,41.0,0.3333,0.46,0.3284,10,43,53,
43,02-01-2011,0,1,19,False,0,1,0.32,42.0,0.2879,0.42,0.4478,1,29,30,
44,02-01-2011,0,1,20,False,0,1,0.3,43.0,,0.39,0.3582,5,17,22,
45,02-01-2011,0,1,21,False,0,1,0.26,44.0,0.2273,0.44,0.3284,11,20,31,
46,02-01-2011,0,1,22,False,0,1,0.24,45.0,0.2121,0.44,0.2985,0,9,9,
47,02-01-2011,0,1,23,False,0,1,0.22,46.0,0.2273,0.47,0.1642,0,8,8,
48,03-01-2011,0,1,0,False,1,1,0.22,47.0,0.197,0.44,0.3582,0,5,5,
49,03-01-2011,0,1,1,False,1,1,0.2,48.0,,0.44,0.4179,0,2,2,
50,03-01-2011,0,1,4,False,1,1,0.16,49.0,0.1364,0.47,0.3881,0,1,1,
51,03-01-2011,0,1,5,False,1,1,0.16,50.0,0.1364,0.47,0.2836,0,3,3,
52,03-01-2011,0,1,6,False,1,1,0.14,51.0,0.1061,0.5,0.3881,0,30,30,
53,03-01-2011,0,1,7,False,1,1,0.14,52.0,0.1364,0.5,0.194,1,63,64,
54,03-01-2011,0,1,8,False,1,1,0.14,53.0,0.1212,0.5,0.2836,1,153,154,
55,03-01-2011,0,1,9,False,1,1,0.16,54.0,0.1364,0.43,0.3881,7,81,88,
56,03-01-2011,0,1,10,False,1,1,0.18,55.0,0.1667,0.43,0.2537,11,33,44,
57,03-01-2011,0,1,11,False,1,1,0.2,56.0,0.1818,0.4,0.3284,10,41,51,
58,03-01-2011,0,1,12,False,1,1,0.22,57.0,0.2121,0.35,0.2985,13,48,61,
59,03-01-2011,0,1,13,False,1,1,0.24,58.0,,0.35,0.2836,8,53,61,
60,03-01-2011,0,1,14,False,1,1,0.26,59.0,0.2424,0.3,0.2836,11,66,77,
61,03-01-2011,0,1,15,False,1,1,0.26,60.0,0.2424,0.3,0.2537,14,58,72,
62,03-01-2011,0,1,16,False,1,1,0.26,61.0,0.2424,0.3,0.2537,9,67,76,
63,03-01-2011,0,1,17,False,1,1,0.24,62.0,0.2273,0.3,0.2239,11,146,157,
64,03-01-2011,0,1,18,False,1,1,0.24,63.0,0.2576,0.32,0.1045,9,148,157,
65,03-01-2011,0,1,19,False,1,1,0.2,64.0,0.2576,0.47,0.0,8,102,110,
66,03-01-2011,0,1,20,False,1,1,0.2,65.0,,0.47,0.1045,3,49,52,
67,03-01-2011,0,1,21,False,1,1,0.18,66.0,0.197,0.64,0.1343,3,49,52,
68,03-01-2011,0,1,22,False,1,1,0.14,67.0,0.1515,0.69,0.1343,0,20,20,
69,03-01-2011,0,1,23,False,1,1,0.18,68.0,0.2121,0.55,0.1045,1,11,12,
70,04-01-2011,0,1,0,False,2,1,0.16,69.0,,0.55,0.1045,0,5,5,
71,04-01-2011,0,1,1,False,2,1,0.16,70.0,0.1818,0.59,0.1045,0,2,2,
72,04-01-2011,0,1,2,False,2,1,0.14,71.0,0.1515,0.63,0.1343,0,1,1,
73,04-01-2011,0,1,4,False,2,1,0.14,72.0,0.1818,0.63,0.0896,0,2,2,
74,04-01-2011,0,1,5,False,2,1,0.12,73.0,0.1515,0.68,0.1045,0,4,4,
75,04-01-2011,0,1,6,False,2,1,0.12,74.0,0.1515,0.74,0.1045,0,36,36,
76,04-01-2011,0,1,7,False,2,1,0.12,75.0,0.1515,0.74,0.1343,2,92,94,
77,04-01-2011,0,1,8,False,2,1,0.14,76.0,0.1515,0.69,0.1642,2,177,179,
78,04-01-2011,0,1,9,False,2,1,0.16,77.0,0.1515,0.64,0.2239,2,98,100,
79,04-01-2011,0,1,10,False,2,2,0.16,78.0,0.1364,0.69,0.3284,5,37,42,
80,04-01-2011,0,1,11,False,2,1,0.22,79.0,0.2121,0.51,0.2985,7,50,57,
81,04-01-2011,0,1,12,False,2,1,0.22,80.0,0.2273,0.51,0.1642,12,66,78,
82,04-01-2011,0,1,13,False,2,1,0.24,81.0,0.2273,0.56,0.194,18,79,97,
83,04-01-2011,0,1,14,False,2,1,0.26,82.0,0.2576,0.52,0.2239,9,54,63,
